color,number,cost
bant,1.7818181818181817,0
bant,16.818181818181817,1
bant,7.7272727272727275,2
bant,7.381818181818182,3
bant,2.290909090909091,4
bant,0.09090909090909091,5
bant,1.309090909090909,6
bant,0.32727272727272727,7
